carrier,fltno,depapt,arrapt,deptim,arrtim,genacft,dep_lat,dep_lon,dep_elev_ft,arr_lat,arr_lon,arr_elev_ft
AH,6007.0,AAE,ALG,600.0,700.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6007.0,AAE,ALG,610.0,710.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6007.0,AAE,ALG,610.0,710.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6007.0,AAE,ALG,610.0,710.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6171.0,AAE,ALG,800.0,900.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6171.0,AAE,ALG,900.0,1000.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6009.0,AAE,ALG,1330.0,1430.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6173.0,AAE,ALG,1400.0,1500.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6009.0,AAE,ALG,1405.0,1520.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
AH,6001.0,AAE,ALG,2030.0,2130.0,737,36.8222,7.80917,16.0,36.691,3.21541,82.0
